year,round,pick,player
1980,1,1,Carroll
1980,1,2,Griffith
1980,1,3,McHale
1980,1,4,Ransey
1980,1,5,Ray
1980,1,6,O'Koren
1980,1,7,Gminski
1980,1,8,Toney
1980,1,9,Brooks
1980,1,10,Lester
1980,1,11,Vandeweghe
1980,1,12,Woodson
1980,1,13,Brown
1980,1,14,Matthews
1980,1,15,Johnson
1980,1,16,Whitney
1980,1,17,Drew
1980,1,18,Collins
1980,1,19,Duren
1980,1,20,Hanzlik
1980,1,21,Davis
1980,1,22,Kinch
1980,1,23,Nicks
1980,2,24,Smith
1980,2,25,Ruland
1980,2,26,Worthen
1980,2,27,Stroud
1980,2,28,Shelton
1980,2,29,Orr
1980,2,30,Natt
1980,2,31,Robinson
1980,2,32,Lawrence
1980,2,33,Collins
1980,2,34,Bouie
1980,2,35,Mahorn
1980,2,36,Scales
1980,2,37,Carter
1980,2,38,Stotts
1980,2,39,Wiley
1980,2,40,Miller
1980,2,41,Oldham
1980,2,42,Belton
1980,2,43,Williams
1980,2,44,Austin
1980,2,45,Branson
1980,2,46,Hallman
1981,1,1,Aguirre
1981,1,2,Thomas
1981,1,3,Williams
1981,1,4,Wood
1981,1,5,Vranes
1981,1,6,Woolridge
1981,1,7,Johnson
1981,1,8,Chambers
1981,1,9,Blackman
1981,1,10,King
1981,1,11,Johnson
1981,1,12,Tripucka
1981,1,13,Schayes
1981,1,14,Williams
1981,1,15,Lamp
1981,1,16,Valentine
1981,1,17,Loder
1981,1,18,Tolbert
1981,1,19,McGee
1981,1,20,Nance
1981,1,21,Lister
1981,1,22,Edwards
1981,1,23,Bradley
1981,2,24,Vincent
1981,2,25,Jackson
1981,2,26,Jackson
1981,2,27,Wood
1981,2,28,Banks
1981,2,29,Johnson
1981,2,30,Rains
1981,2,31,Ainge
1981,2,32,Olliver
1981,2,33,Williams
1981,2,34,Green
1981,2,35,Davis
1981,2,36,Blume
1981,2,37,Leslie
1981,2,38,Bradshaw
1981,2,39,Knuckles
1981,2,40,Cook
1981,2,41,Gregory
1981,2,42,Rolle
1981,2,43,Turner
1981,2,44,Lingenfelter
1981,2,45,Turner
1981,2,46,Smith
1982,1,1,Worthy
1982,1,2,Cummings
1982,1,3,Wilkins
1982,1,4,Garnett
1982,1,5,Thompson
1982,1,6,Tucker
1982,1,7,Dailey
1982,1,8,Clark
1982,1,9,Levingston
1982,1,10,Edmonson
1982,1,11,Fat
1982,1,12,Bagley
1982,1,13,Floyd
1982,1,14,Conner
1982,1,15,Thirdkill
1982,1,16,Teagle
1982,1,17,Steppe
1982,1,18,Pierce
1982,1,19,Williams
1982,1,20,Pressey
1982,1,21,Phillips
1982,1,22,McNamara
1982,1,23,Tillis
1982,2,24,Robinson
1982,2,25,Warrick
1982,2,26,Frazier
1982,2,27,Roberts
1982,2,28,Magley
1982,2,29,Hastings
1982,2,30,Bryant
1982,2,31,Higgins
1982,2,32,Anderson
1982,2,33,Townes
1982,2,34,Taylor
1982,2,35,Smith
1982,2,36,Anderson
1982,2,37,Norris
1982,2,38,Wayne
1982,2,39,Magee
1982,2,40,Morgan
1982,2,41,Anderson
1982,2,42,Taylor
1982,2,43,Slaughter
1982,2,44,Gibson
1982,2,45,Schoene
1982,2,46,Guy
1983,1,1,Sampson
1983,1,2,Stipanovich
1983,1,3,McCray
1983,1,4,Scott
1983,1,5,Green
1983,1,6,Cross
1983,1,7,Bailey
1983,1,8,Carr
1983,1,9,Ellis
1983,1,10,Malone
1983,1,11,Harper
1983,1,12,Walker
1983,1,13,Whatley
1983,1,14,Drexler
1983,1,15,Carter
1983,1,16,Sundvold
1983,1,17,Rautins
1983,1,18,Breuer
1983,1,19,Paxson
