Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1,2012,NBA,1,1,NOH,Anthony Davis,19.114,F-C,us,University of Kentucky,2013,2018,410,34.8,23.4,10.3,1.9,1.3,2.4,0.517,0.531,0.309,0.795,62.5,0.21
2,2011,NBA,1,1,CLE,Kyrie Irving,19.096,G,au,Duke University,2012,2018,441,33.9,22,3.4,5.5,1.3,0.3,0.462,0.493,0.388,0.875,49.3,0.158
3,2009,NBA,1,1,LAC,Blake Griffin,20.106,F,us,University of Oklahoma,2011,2018,529,35,21.5,9.2,4.3,0.9,0.5,0.508,0.522,0.324,0.683,67.3,0.174
4,2005,NBA,1,1,MIL,Andrew Bogut,20.217,C,au,University of Utah,2006,2018,694,28.4,9.8,8.7,2.2,0.6,1.6,0.535,0.537,0.12,0.556,50.3,0.122
5,2004,NBA,1,1,ORL,Dwight Howard,18.203,C,us,,2005,2018,1035,34.5,17.4,12.7,1.5,0.9,2,0.583,0.585,0.095,0.566,128.3,0.172
6,2003,NBA,1,1,CLE,LeBron James,18.182,F-G,us,,2004,2018,1143,38.8,27.2,7.4,7.2,1.6,0.8,0.504,0.547,0.344,0.739,219.4,0.238
7,2002,NBA,1,1,HOU,Yao Ming,21.292,C,cn,,2003,2011,486,32.5,19,9.2,1.6,0.4,1.9,0.524,0.525,0.2,0.833,65.9,0.2
8,2000,NBA,1,1,NJN,Kenyon Martin,22.186,F,us,University of Cincinnati,2001,2015,757,30.6,12.3,6.8,1.9,1.2,1.1,0.483,0.492,0.234,0.629,48,0.1
9,1999,NBA,1,1,CHI,Elton Brand,20.116,F,us,Duke University,2000,2016,1058,33,15.9,8.5,2.1,0.9,1.7,0.5,0.501,0.095,0.736,109.6,0.151
10,2007,NBA,1,2,SEA,Kevin Durant,18.276,F-G,us,University of Texas at Austin,2008,2018,771,37.1,27.1,7.1,3.9,1.2,1.1,0.49,0.527,0.384,0.882,130.2,0.219
11,2006,NBA,1,2,CHI,LaMarcus Aldridge,20.349,F-C,us,University of Texas at Austin,2007,2018,869,34.6,19.4,8.3,1.9,0.8,1.1,0.489,0.494,0.288,0.806,97.6,0.156
12,2005,NBA,1,2,ATL,Marvin Williams,19.014,F,us,University of North Carolina,2006,2018,939,28.6,10.5,5.3,1.3,0.8,0.5,0.444,0.48,0.361,0.808,58.9,0.105
13,2001,NBA,1,2,LAC,Tyson Chandler,18.273,C,us,,2002,2018,1079,28.3,8.6,9.4,0.9,0.6,1.2,0.596,0.597,0,0.646,99.4,0.156
14,1999,NBA,1,2,VAN,Steve Francis,22.134,G,us,University of Maryland,2000,2008,576,37.6,18.1,5.6,6,1.5,0.4,0.429,0.451,0.341,0.797,54.1,0.12
15,2009,NBA,1,3,OKC,James Harden,19.308,G,us,Arizona State University,2010,2018,687,33.8,23,5.1,6.1,1.5,0.5,0.443,0.503,0.364,0.854,106.7,0.22
16,2007,NBA,1,3,ATL,Al Horford,21.03,C-F,do,University of Florida,2008,2018,718,33.2,14.2,8.6,3.2,0.8,1.2,0.525,0.541,0.37,0.75,78.3,0.158
17,2005,NBA,1,3,UTA,Deron Williams,21.007,G,us,University of Illinois at Urbana-Champaign,2006,2017,845,34.2,16.3,3.1,8.1,1,0.2,0.445,0.482,0.357,0.822,77.3,0.129
18,2003,NBA,1,3,DEN,Carmelo Anthony,19.032,F,us,Syracuse University,2004,2018,1054,35.9,24.1,6.5,3,1,0.5,0.449,0.473,0.347,0.812,100.7,0.128
19,2002,NBA,1,3,GSW,Mike Dunleavy,21.289,F-G,us,Duke University,2003,2017,986,27.7,11.2,4.3,2.2,0.7,0.3,0.441,0.481,0.377,0.803,58.5,0.103
